managed-keys-zone/localhost_resolver: loaded serial 0
managed-keys-zone/internal: loaded serial 0
managed-keys-zone/external: loaded serial 0
zone 0.in-addr.arpa/IN/localhost_resolver: loaded serial 0
zone 1.0.0.127.in-addr.arpa/IN/localhost_resolver: loaded serial 0
zone 1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.ip6.arpa/IN/localhost_resolver: loaded serial 0
zone localhost.localdomain/IN/localhost_resolver: loaded serial 0
zone localhost/IN/localhost_resolver: loaded serial 0
zone 0.in-addr.arpa/IN/internal: loaded serial 0
zone localhost/IN/internal: loaded serial 0
zone 1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.ip6.arpa/IN/internal: loaded serial 0
zone localhost.localdomain/IN/internal: loaded serial 0
zone 1.0.0.127.in-addr.arpa/IN/internal: loaded serial 0
istyx.eu.org.db:1: no TTL specified; using SOA MINTTL instead
zone istyx.eu.org/IN/external: loaded serial 1
all zones loaded
running
client @0xfffeb00a0840 91.167.184.90#12292 (istyx.eu.org): view external: query 'istyx.eu.org/A/IN' denied
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:dc3::35#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:200::b#53
network unreachable resolving './NS/IN': 2001:500:a8::e#53
network unreachable resolving './NS/IN': 2001:500:12::d0d#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:a8::e#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:12::d0d#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:7fe::53#53
network unreachable resolving './NS/IN': 2001:7fe::53#53
network unreachable resolving './NS/IN': 2001:503:ba3e::2:30#53
network unreachable resolving './NS/IN': 2001:503:c27::2:30#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:503:ba3e::2:30#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:503:c27::2:30#53
network unreachable resolving './NS/IN': 2001:500:9f::42#53
network unreachable resolving './NS/IN': 2001:500:2d::d#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:9f::42#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:2d::d#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:1::53#53
network unreachable resolving './NS/IN': 2001:500:1::53#53
network unreachable resolving './NS/IN': 2001:500:2::c#53
network unreachable resolving './NS/IN': 2001:500:2f::f#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:2::c#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:2f::f#53
network unreachable resolving './NS/IN': 2001:7fd::1#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:7fd::1#53
resolver priming query complete
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:e::1#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:48::1#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:c::1#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:40::1#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:f::1#53
network unreachable resolving 'ns1.istyx.eu.org/A/IN': 2001:500:b::1#53
network unreachable resolving 'ns.bortzmeyer.eu.org/A/IN': 2001:500:2f::f#53
network unreachable resolving 'ns.bortzmeyer.eu.org/AAAA/IN': 2001:500:2f::f#53
network unreachable resolving 'gra.wolfhugel.eu/A/IN': 2001:500:2::c#53
network unreachable resolving 'gra.wolfhugel.eu/AAAA/IN': 2001:500:2::c#53
network unreachable resolving 'ns1.eu.org/A/IN': 2001:500:9f::42#53
network unreachable resolving 'ns1.eu.org/AAAA/IN': 2001:500:9f::42#53
network unreachable resolving 'ns1.eriomem.net/A/IN': 2001:500:a8::e#53
network unreachable resolving 'ns1.eriomem.net/AAAA/IN': 2001:500:a8::e#53
network unreachable resolving 'ns3.keltia.net/A/IN': 2001:500:a8::e#53
network unreachable resolving 'ns3.keltia.net/AAAA/IN': 2001:500:a8::e#53
network unreachable resolving 'ns.bortzmeyer.eu.org/A/IN': 2001:500:2::c#53
network unreachable resolving 'ns.bortzmeyer.eu.org/AAAA/IN': 2001:500:2::c#53
network unreachable resolving 'gra.wolfhugel.eu/A/IN': 2001:500:9f::42#53
network unreachable resolving 'gra.wolfhugel.eu/AAAA/IN': 2001:500:9f::42#53
network unreachable resolving 'ns1.eu.org/A/IN': 2001:500:a8::e#53
network unreachable resolving 'ns1.eu.org/AAAA/IN': 2001:500:a8::e#53
network unreachable resolving 'ns1.eriomem.net/A/IN': 2001:7fd::1#53
network unreachable resolving 'ns1.eriomem.net/AAAA/IN': 2001:7fd::1#53
network unreachable resolving 'ns3.keltia.net/A/IN': 2001:7fd::1#53
network unreachable resolving 'ns3.keltia.net/AAAA/IN': 2001:7fd::1#53
network unreachable resolving 'ns.bortzmeyer.eu.org/A/IN': 2001:500:9f::42#53
network unreachable resolving 'ns.bortzmeyer.eu.org/AAAA/IN': 2001:500:9f::42#53
network unreachable resolving 'ns.bortzmeyer.eu.org/A/IN': 2001:500:a8::e#53
network unreachable resolving 'gra.wolfhugel.eu/A/IN': 2001:500:a8::e#53
network unreachable resolving 'gra.wolfhugel.eu/AAAA/IN': 2001:500:a8::e#53
